prefLabel (English),Translation prefLabel (Spanish),Identifier,altLabel (English),Translation altLabel (Spanish),Description/Scope Note (English),Description/Scope Note (Spanish),translationNote,historyNote (English),historyNote (Spanish),"Comments (Ernesto, postdoc)"
Bhojpuri queer people,Personas queer bhojpuri ,homoit0002082,"Queer Bhojpuri people||
Queer Bhojpuriyas","Personas bhojpuri queer||
Bhojpuriyas queer",Queer people who speak the Bhojpuri language and live in or are descended from those who inhabited the Bhojpuri-Purvanchal region of India and Nepal.,"Personas queer que hablan el idioma bhojpuri y viven, pertenecen o son descendientes de quienes habitaron la región de Bhojpuri-Purvanchal de India y Nepal.",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Bhojpuri transgender people,Personas transgénero bhojpuri ,homoit0002083,"Transgender Bhojpuri people||
Transgender Bhojpuriyas","Personas bhojpuri transgénero||
Bhojpuriyas transgénero ",Transgender people who speak the Bhojpuri language and live in or are descended from those who inhabited the Bhojpuri-Purvanchal region of India and Nepal.,"Personas transgénero que hablan el idioma bhojpuri y viven, pertenecen o son descendientes de quienes habitaron la región de Bhojpuri-Purvanchal de India y Nepal.",,"To acknowledge their multiple marginalization, terms for people of color who are LGBTQ+ use the following format: Racial or ethnic identity followed by gender or sexual identity (e.g., Black lesbians).","Para reconocer su marginación múltiple, los términos para las personas de color que son LGBTQ+ utilizan el siguiente formato: identidad sexual o de género seguida de identidad racial o étnica (por ejemplo, lesbianas negras).",
Bi+ people,Personas bi+,homoit0000108,,,"Individuals who are not exclusively sexually and/or romantically attracted to individuals of a single biological sex (includes bisexual, queer, pansexual, and fluid identities).","Personas que no sienten una atracción sexual y/o romántica exclusiva por personas de un único sexo biológico (incluye las identidades bisexuales, queer, pansexuales y fluidas).",,,,
Bigender identity,Identidad bigénero,homoit0000110,,,Term used to describe the identities of people who have two genders.,Término utilizado para describir la identidad de personas que tienen dos géneros.,,,,
Bigender people,Personas bigénero,homoit0000111,,,"People who identify as any two genders, either simultaneously or more fluidly.","Personas que seautoidentificancon dos géneros, ya sea simultáneamente o de forma más fluida.",,,,
Binabae,Binabae,homoit0000113,,,Tagalog term for individuals who possess both male and female traits.,Término tagalog para designar a una persona con rasgos tanto masculinos como femeninos.,,,,
Binding (Chest),Fajarse el pecho,homoit0000114,,"Binding|| 
Faja|| 
Práctica de fajado de pecho|| 
Vendarse el pecho","The act of flattening or concealing the chest area with a tight fitting shirt, strap, or similar material; often practiced by transgender men and transmasculine people.","El acto de aplanar u ocultar la zona del pecho con una camisa ajustada, una correa o un material similar; suele practicarse por hombres transgénero o personas transmasculinas.",,,,"--> altLabel ES, why is in italics?"
Biological parenthood,Maternidad y paternidad biológica,homoit0000116,,"Maternidad biológica|| 
Paternidad biológica","The experience of being a biological parent to a child. This relationship can be genetic, gestational, or both.","Persona que tiene una relación biológica con un hijo o hijos. Esta relación puede ser genética, gestacional o ambas.",,,,"--> I agree with Sara, we should consider creating 2 prefLabel ES ""Maternidad biológica"" and ""Paternidad biológica"". Keep this in mind to discuss other preLabel EN with the words ""parenthood"" and ""parents""
--> SN ES, check GNL and FGG for ""hijo(s)"""
Biphobia,Bifobia,homoit0000117,,,"Antagonism or disgust directed toward bisexuality as an identity or bisexual people due to their sexuality. Biphobia can include denial of the existence of bisexuality, stereotypes, verbal harassment, and physical violence.","Antagonismo o repugnancia dirigida hacia la bisexualidad como identidad o hacia las personas bisexuales por su sexualidad. La bifobia puede incluir la negación de la existencia de la bisexualidad, los estereotipos, el acoso verbal y la violencia física.",,,,
BIPOC,BIPOC,homoit0001928,"Black, Indigenous, and people of color||
Black, Indigenous, and people of colour","Personas negras, indígenas y de color","Acronym primarily used in the United States to describe Black, Indigenous, and people of color as a group, while also centering the specific experiences of Black and Indigenous people.","Acrónimo utilizado principalmente en los Estados Unidos para describir a personas negras, indígenas y de color como grupo, centrando, a la vez, en las experiencias específicas de las personas negras e indígenas.",,,,
